datetime,m3/d
2019-08-13,5281.2829593
2019-08-14,5172.9015635999995
2019-08-15,5105.69532
2019-08-16,5049.8970768
2019-08-17,4951.9178495999995
2019-08-18,4913.616470399999
2019-08-19,4849.7808384
2019-08-20,4877.3698092
2019-08-21,4791.9158955
2019-08-22,4829.9869377
2019-08-23,4756.206181500001
2019-08-24,4815.6262731
2019-08-25,4851.6431031
2019-08-26,4791.954285000001
2019-08-27,4652.7624261
2019-08-28,4474.2613068
2019-08-29,4328.960830200001
2019-08-30,4310.1942912
2019-08-31,4224.930451200001
2019-09-01,4203.1965312
2019-09-02,4159.7286912
2019-09-03,4193.2783809
2019-09-04,4169.7970974
2019-09-05,4173.103411200001
2019-09-06,4245.0301611
2019-09-07,4132.391031
2019-09-08,4108.8731724
2019-09-09,3870.2534175
2019-09-10,3653.2018296
2019-09-11,3831.278301
2019-09-12,4624.0728345
2019-09-13,5574.324438899999
2019-09-14,4827.261294
2019-09-15,4533.7134573
2019-09-16,4433.2384941
2019-09-17,4332.4550298
2019-09-18,4287.1272003
2019-09-19,4810.6555776
2019-09-20,4946.446224
2019-09-21,4942.914400799999
2019-09-22,4815.6646626
2019-09-23,4758.0300567
